Parámetro,Valor,Nota
UTILIDAD_MINIMA_GENERAL,0.1200,Margen mínimo sobre venta si el cliente no tiene uno propio
META_VENTA_MENSUAL_COP,50000000.0000,Meta del presupuesto comercial
HORAS_RECORDATORIO_RFQ,48.0000,Horas sin respuesta del proveedor antes del recordatorio automático
HORAS_ALERTA_RFQ,96.0000,Horas sin respuesta antes de alerta para llamada
DIAS_SEGUIMIENTO_CLIENTE_1,3.0000,Primer seguimiento tras enviar QT
DIAS_SEGUIMIENTO_CLIENTE_2,7.0000,Segundo seguimiento tras enviar QT
PONDERACION_ENVIADA,0.3000,Peso en presupuesto de QT enviada
PONDERACION_NEGOCIACION,0.6000,Peso en presupuesto de QT en negociación
NEGOCIACION_AUTO_ACTIVA,1.0000,1 = la IA contraoferta a proveedores; 0 = solo tú negocias
MAX_RONDAS_NEGOCIACION_AUTO,1.0000,Rondas máximas de contraoferta automática por RFQ
UMBRAL_NEGOCIACION_PCT,0.0500,"Si la mejor oferta supera en 5% el histórico o la 2a oferta, la IA contraoferta"
MONTO_MAX_NEGOCIACION_AUTO_COP,5000000.0000,Líneas con costo mayor a este monto siempre las negocias tú
TRM_ACTUAL,3459.5300,TRM de referencia COP/USD para calculos de pipeline. Actualizar manualmente cuando cambie significativamente (>1%).
META_VENTA_MENSUAL_USD,13164.0000,Meta USD equivalente a $50M COP / TRM histórica 3800. Actualizar si cambia la meta COP.
MODO_PRUEBA,0.0000,1 = entorno de pruebas activo (bloquea envio real de facturas Siigo y correos externos). 0 = produccion real. NUNCA activar en produccion sin validacion previa.
